This file was created by CMPT_BETA_RETS using the 202112 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on BETA.

The portfolios are constructed at the end of June. Beta is estimated using monthly returns for the past 60 months
 (requiring at least 24 months with non-missing returns). Beta is estimated using the Scholes-Williams method.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196605,   -4.78,   -3.60,   -4.99,   -5.24,  -11.18,   -4.84,   -4.74,   -3.91,   -3.43,   -5.00,   -4.98,   -5.50,   -5.07,   -9.91,  -12.41
196606,   -2.04,   -1.40,   -1.72,    0.17,    1.95,   -2.08,   -2.01,   -2.93,   -0.60,   -1.50,   -1.95,    1.47,   -0.72,    0.29,    3.58
196607,   -0.55,   -1.06,   -0.14,   -2.87,   -2.11,   -0.35,   -0.68,   -0.25,   -1.93,   -0.26,   -0.05,   -2.37,   -3.32,   -2.34,   -1.91
196608,   -6.73,   -7.59,   -7.63,   -7.14,   -8.73,   -6.89,   -6.62,   -8.29,   -6.83,   -7.05,   -8.08,   -5.38,   -8.70,   -8.65,   -8.79
196609,    1.60,    0.20,   -0.95,   -2.29,   -5.24,    1.58,    1.61,    0.96,   -0.60,   -1.75,   -0.31,   -2.75,   -1.88,   -5.01,   -5.42
196610,    7.43,    5.07,    4.64,    2.48,   -2.79,    5.77,    8.50,    4.43,    5.77,    5.26,    4.16,    1.99,    2.92,   -0.69,   -4.54
196611,   -1.51,   -0.82,    1.90,    6.16,   10.96,   -1.11,   -1.76,   -2.05,    0.49,    1.54,    2.19,    2.30,    9.65,    8.51,   13.07
196612,    1.15,   -0.12,    1.42,   -0.49,    0.53,   -0.17,    1.98,    0.50,   -0.76,    2.11,    0.88,   -0.63,   -0.37,    1.61,   -0.37
196701,    5.01,    7.77,    8.65,   10.96,   14.36,    3.82,    5.76,    9.14,    6.34,    9.59,    7.89,   10.85,   11.06,   13.62,   14.99
196702,   -0.05,    0.32,    0.86,    3.30,    2.40,   -0.88,    0.46,   -0.20,    0.87,    1.22,    0.57,    1.39,    4.90,    1.41,    3.24
196703,    3.63,    3.11,    5.37,    5.42,    5.61,    4.54,    3.08,    3.55,    2.64,    6.21,    4.69,    5.73,    5.18,    5.84,    5.43
196704,    1.24,    4.79,    3.96,    6.28,    6.24,    1.20,    1.26,    5.74,    3.76,    4.16,    3.79,    5.75,    6.71,    5.29,    7.01
196705,   -3.36,   -4.46,   -4.03,   -4.29,   -3.95,   -1.84,   -4.28,   -4.25,   -4.69,   -3.23,   -4.70,   -4.55,   -4.09,   -5.72,   -2.52
196706,    1.99,    1.01,    3.01,    3.82,    4.41,    1.85,    2.08,    0.42,    1.66,    3.01,    3.01,    2.64,    4.76,    3.99,    4.73
196707,    2.37,    5.98,    5.01,    7.27,    7.81,    0.47,    4.48,    5.32,    6.40,    6.17,    3.65,    7.01,    7.51,    6.08,    9.50
196708,   -1.18,   -0.33,   -0.44,    0.28,   -0.38,   -1.28,   -1.07,    0.23,   -0.67,    0.36,   -1.40,   -0.08,    0.61,   -0.47,   -0.29
196709,    2.33,    2.54,    5.01,    2.80,    3.98,    1.29,    3.46,    1.62,    3.11,    3.67,    6.65,    2.94,    2.66,    4.61,    3.37
196710,   -2.62,   -4.07,   -1.63,   -3.70,   -2.66,   -3.70,   -1.49,   -4.63,   -3.74,   -5.23,    2.66,   -4.96,   -2.56,   -1.88,   -3.41
196711,    1.31,    1.06,    0.16,    0.62,    0.04,    0.89,    1.74,    0.76,    1.24,   -0.79,    1.20,    2.02,   -0.60,   -0.91,    0.97
196712,    2.35,    3.09,    3.15,    4.11,    5.34,    2.56,    2.14,    5.39,    1.77,    3.19,    3.10,    6.27,    2.17,    4.46,    6.19
196801,   -0.67,   -3.13,   -4.75,   -6.46,   -5.92,    0.30,   -1.66,   -1.08,   -4.34,   -3.08,   -6.55,   -4.71,   -8.09,   -5.53,   -6.29
196802,   -1.99,   -3.05,   -2.99,   -4.03,   -6.70,   -1.95,   -2.02,   -2.74,   -3.24,   -2.66,   -3.37,   -3.58,   -4.46,   -6.68,   -6.72
196803,   -0.86,    0.45,    1.82,    1.09,    2.49,   -1.26,   -0.43,   -0.28,    0.89,    0.13,    3.72,    0.77,    1.41,    2.68,    2.33
196804,    4.83,    9.19,   10.77,   12.41,   14.95,    4.65,    5.01,    8.30,    9.72,   10.28,   11.29,   12.00,   12.81,   13.97,   15.87
196805,    0.76,    2.16,    2.96,    3.79,    6.60,    1.04,    0.47,    2.80,    1.77,    1.53,    4.47,    5.46,    2.19,    7.03,    6.21
196806,    3.20,    1.62,    0.24,   -0.59,   -0.52,    4.27,    2.10,    4.20,    0.08,    0.98,   -0.52,    0.93,   -2.10,    0.65,   -1.61
196807,    1.69,   -3.92,   -3.93,   -4.17,   -4.12,    3.23,   -0.57,   -4.18,   -3.72,   -3.61,   -4.43,   -4.46,   -3.83,   -3.83,   -4.39
196808,    1.09,    1.72,    1.57,    3.67,    2.90,    0.94,    1.31,    2.21,    1.34,    1.48,    1.71,    4.17,    3.08,    1.91,    3.90
196809,    2.74,    4.05,    5.31,    5.53,    7.44,    1.75,    4.27,    4.90,    3.37,    5.11,    5.63,    5.22,    5.92,    6.35,    8.53
196810,    2.10,   -1.02,    1.93,    1.26,   -0.07,    2.43,    1.60,   -0.89,   -1.12,    2.99,    0.29,    1.23,    1.29,    1.06,   -1.17
196811,    6.38,    5.35,    3.84,    6.11,    9.75,    6.88,    5.60,    3.86,    6.56,    1.96,    6.76,    6.71,    5.39,    8.56,   10.94
196812,   -4.05,   -3.70,   -2.96,   -3.67,   -2.49,   -4.67,   -3.09,   -2.70,   -4.49,   -2.72,   -3.31,   -3.70,   -3.62,   -2.87,   -2.12
196901,    0.48,   -2.02,   -0.58,   -1.84,   -0.64,    0.92,   -0.19,   -0.72,   -3.08,   -0.50,   -0.69,   -1.69,   -2.04,   -0.72,   -0.56
196902,   -4.59,   -3.63,   -4.22,   -6.79,  -10.65,   -4.12,   -5.33,   -3.27,   -3.92,   -3.30,   -5.61,   -5.74,   -8.09,   -9.26,  -12.01
196903,    2.80,    3.87,    3.75,    1.62,    2.94,    3.12,    2.28,    2.83,    4.73,    3.64,    3.92,    1.52,    1.75,    3.17,    2.71
196904,    1.81,    3.24,    1.77,    0.19,    2.90,    2.33,    0.95,    3.45,    3.08,    1.86,    1.63,    0.66,   -0.40,    2.96,    2.84
196905,    1.50,   -0.90,    1.13,   -0.91,   -0.51,    1.63,    1.29,   -0.06,   -1.60,    1.77,    0.12,   -0.07,   -1.98,    1.04,   -2.05
196906,   -6.48,   -3.40,   -6.36,   -8.26,  -12.84,   -6.48,   -6.48,   -5.73,   -1.47,   -6.24,   -6.55,   -7.44,   -9.32,  -10.94,  -14.79
196907,   -5.99,   -5.49,   -6.24,   -8.20,   -9.71,   -5.65,   -6.52,   -5.89,   -4.60,   -5.25,   -7.45,   -7.34,   -9.51,   -7.74,  -11.63
196908,    3.28,    5.57,    5.22,    6.00,    9.26,    3.06,    3.63,    5.32,    6.14,    5.68,    4.66,    6.20,    5.69,    8.82,    9.71
196909,   -4.12,   -1.77,   -0.55,   -2.66,   -1.96,   -4.60,   -3.37,   -1.83,   -1.63,   -0.45,   -0.67,   -2.58,   -2.79,   -1.73,   -2.20
196910,    3.95,    5.05,    5.64,    8.43,    9.12,    3.22,    5.05,    4.24,    6.88,    6.85,    4.14,    7.54,    9.84,    7.19,   11.07
